Gen	TotalRecuentos
AT5G59910	34694
AT3G08610	34686
AT1G67120	34662
ATCG00240	34658
AT1G57660	34651
AT1G23290	34647
AT3G46740	34638
AT3G57330	34611
AT5G63840	34599
AT1G22300	34565
AT2G31960	34536
AT5G59613	34494
AT3G62530	34458
AT3G13470	34388
AT1G79920	34386
AT4G08850	34377
AT4G30170	34365
AT1G75500	34356
ATMG01130	34338
AT1G12000	34279
AT5G17820	34240
AT5G54960	34198
AT3G11910	34177
AT3G52960	34176
AT2G07681	34167
AT2G36160	34153
AT1G30360	34137
AT5G58330	34107
AT3G62700	34089
AT5G23020	34079
AT1G62020	34063
AT4G14320	34009
AT2G20610	34005
AT2G38040	33950
AT3G23990	33928
AT4G37830	33899
AT5G27380	33855
AT2G42590	33852
AT5G51200	33816
AT4G31570	33796
AT3G05560	33794
AT3G62830	33764
AT1G23490	33742
AT3G13300	33726
AT1G75350	33673
AT1G66580	33662
AT3G48730	33658
AT3G51800	33652
AT2G20190	33619
AT5G11170	33612
AT1G79930	33604
AT4G13495	33551
AT1G74060	33532
AT1G75750	33512
AT1G09570	33481
AT1G13110	33476
AT3G14990	33446
AT5G62700	33350
AT2G33800	33341
AT2G30620	33319
AT1G41880	33318
AT4G27000	33314
AT1G65980	33259
AT3G17240	33223
AT2G31390	33215
AT1G05570	33203
AT3G22440	33116
AT5G65620	32995
AT3G18290	32988
AT4G39420	32950
AT3G18060	32946
AT1G21250	32907
AT3G52850	32901
AT4G22890	32858
AT4G09800	32821
AT5G52920	32752
AT5G62190	32748
AT1G24881	32702
AT2G19480	32694
AT4G36220	32643
AT1G70410	32569
AT1G27450	32542
AT3G44010	32477
AT1G17880	32360
AT5G24690	32344
AT3G58730	32341
AT5G23740	32336
AT3G08785	32283
AT4G32020	32262
AT1G76990	32218
AT2G26010	32130
AT4G04125	32130
AT1G66410	32113
AT3G11830	32104
AT2G41790	32070
AT5G65020	32060
AT1G70780	32053
AT4G39330	32031
AT3G62120	32023
AT1G51400	31982
AT1G51402	31977
AT1G09770	31964
AT1G22620	31931
AT4G23630	31931
AT5G11740	31915
AT1G74920	31865
AT3G59780	31847
AT5G14030	31846
AT2G30970	31826
AT2G21160	31815
AT5G24710	31760
AT1G06760	31735
AT1G08520	31710
AT3G08795	31700
AT3G04730	31677
ATCG01140	31674
AT2G05920	31655
AT1G15930	31647
AT1G47260	31646
AT5G55070	31610
AT3G19710	31578
ATCG00990	31560
ATMG01000	31512
AT1G29660	31500
AT2G20360	31445
AT1G17745	31398
AT4G40030	31373
AT4G01100	31332
AT3G07100	31313
AT3G20770	31289
AT1G07737	31270
AT1G22930	31250
AT3G10380	31237
ATMG00830	31199
AT5G02575	31176
AT5G64840	31167
AT1G14670	31161
AT5G20960	31160
AT3G54660	31124
AT5G17770	31124
AT1G19000	31099
ATMG00990	31061
AT1G24180	31045
AT3G44890	31038
AT3G06650	31028
AT1G20693	30984
AT4G11320	30980
AT5G44790	30940
AT3G24870	30921
AT5G25350	30906
AT1G22780	30896
AT1G79830	30881
AT1G07140	30812
AT5G15450	30804
AT3G27090	30798
AT4G29380	30784
AT5G19940	30776
AT2G30440	30774
AT3G44990	30715
AT1G79530	30702
AT1G36730	30695
AT3G24880	30692
AT4G16760	30660
AT1G73230	30649
AT1G25440	30596
AT4G24220	30582
AT4G20890	30573
AT4G11380	30559
AT4G00430	30541
AT3G15190	30494
AT2G07719	30484
AT5G19890	30478
AT1G51200	30447
AT4G19210	30428
AT5G63400	30394
AT5G64572	30322
AT5G46290	30320
AT1G75950	30298
AT3G57290	30270
AT5G11420	30263
AT5G64350	30242
AT5G43060	30220
AT3G43190	30200
AT5G35180	30199
AT5G65430	30167
AT4G38740	30144
AT1G03870	30128
AT3G26440	30127
AT1G56190	30067
AT5G19140	30058
AT3G13670	30031
AT3G23820	30024
AT5G08260	30016
AT1G47420	30013
AT4G08920	29934
AT1G48030	29896
AT1G02890	29883
AT1G79000	29855
AT5G57110	29846
AT1G70370	29806
AT5G42300	29792
AT5G52882	29783
AT1G64390	29720
ATMG00670	29681
AT4G25050	29680
AT4G25820	29642
AT1G22060	29641
AT5G35210	29551
AT2G47400	29549
AT3G06860	29530
AT1G02560	29520
AT3G13080	29515
AT1G53210	29509
AT1G31730	29496
AT5G19690	29473
AT1G59610	29468
AT2G40490	29439
AT5G19220	29418
AT4G36130	29415
AT5G03290	29407
AT2G26140	29373
AT1G55360	29372
AT5G26260	29368
AT5G15090	29360
AT5G57290	29360
AT5G08300	29357
AT1G28400	29354
AT2G07662	29337
AT2G47730	29331
AT5G27640	29328
AT1G34030	29297
AT5G61960	29291
AT5G10540	29257
AT4G06695	29192
AT1G04430	29173
AT5G13980	29086
AT5G20830	29085
AT1G12240	29052
AT2G47070	29046
AT2G07050	29032
AT5G10840	29029
AT5G19500	29003
AT4G09010	28997
AT4G22670	28996
AT5G64100	28970
AT1G10290	28969
AT5G67400	28964
AT5G39570	28961
AT5G41700	28951
AT1G24880	28939
AT5G16150	28932
AT1G51570	28911
AT4G39980	28867
AT5G17020	28862
AT5G13440	28861
AT2G47000	28859
AT5G13710	28859
AT3G15360	28851
AT4G04610	28848
AT1G31230	28845
AT1G16180	28792
AT2G41105	28791
AT1G72710	28778
AT5G26830	28777
AT2G43460	28751
AT1G20450	28737
AT3G27240	28711
AT5G14060	28706
AT2G20990	28705
AT2G17420	28704
AT3G03265	28674
AT5G12860	28671
AT3G05840	28659
AT5G53550	28641
AT2G16500	28595
AT5G44580	28542
AT4G36648	28529
AT5G47560	28505
AT3G01470	28489
AT4G30600	28473
AT5G53480	28468
AT1G23080	28467
AT1G01100	28465
AT5G43900	28457
AT1G32450	28452
AT4G32640	28411
AT3G27160	28409
AT1G64230	28405
AT5G22640	28402
AT3G18740	28393
AT2G37270	28391
AT2G46560	28375
AT3G56340	28327
AT5G43320	28326
AT4G02230	28320
AT3G04910	28305
AT1G70850	28291
AT5G22090	28276
AT5G65630	28274
AT1G60710	28264
AT2G07360	28231
AT5G60410	28231
AT2G25730	28209
AT3G08510	28203
AT5G55220	28188
AT2G16586	28185
AT5G23630	28153
AT5G47010	28142
AT4G05685	28074
AT1G70490	28070
AT1G35680	28041
AT1G79690	28041
AT2G21520	28023
AT5G10960	28008
AT4G03260	28007
AT4G33030	27999
AT2G25430	27985
AT3G48000	27976
AT4G05420	27963
