PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT1G04850	4033	4006	4160	3766	3526
AT1G04853	284	275	292	304	234
AT1G04857	0	0	0	0	0
AT1G04860	2056	2186	2304	1773	2052
AT1G04863	0	1	2	1	2
AT1G04867	0	0	0	0	0
AT1G04870	1641	1750	1932	1523	1397
AT1G04873	165	179	181	148	197
AT1G04877	32	27	31	40	50
AT1G04880	5	14	20	13	9
AT1G04883	1023	794	898	1304	935
AT1G04887	4	3	4	7	8
AT1G04890	0	1	0	0	2
AT1G04893	272	295	349	255	304
AT1G04895	0	0	0	0	0
AT1G04897	5	3	5	4	5
AT1G04900	722	817	871	753	805
AT1G04907	4	8	8	3	9
AT1G04910	1748	1719	1868	1716	1650
AT1G04913	257	269	284	311	280
AT1G04917	130	116	136	108	103
AT1G04920	104	99	109	67	87
AT1G04923	8	11	3	7	11
AT1G04927	540	450	462	342	310
AT1G04930	179	169	199	167	182
AT1G04933	190	175	160	157	125
AT1G04937	0	0	0	0	0
AT1G04940	1790	1911	2049	2237	2117
AT1G04943	1	0	0	0	0
AT1G04945	2144	2273	2444	2495	2424
AT1G04947	0	0	0	0	0
AT1G04950	822	917	1070	767	989
AT1G04953	87	53	63	47	46
AT1G04957	0	0	0	1	0
AT1G04960	1029	895	1009	891	890
AT1G04963	0	0	0	0	0
AT1G04967	0	1	0	0	0
AT1G04970	1515	1536	1657	1513	1539
AT1G04973	270	345	378	366	356
AT1G04977	1000	1075	1150	928	1051
AT1G04980	918	929	983	863	806
AT1G04983	2	0	6	1	4
AT1G04985	904	944	972	935	949
AT1G04987	0	0	0	0	0
AT1G04990	1255	1367	1501	1351	1357
AT1G04993	6	5	5	4	10
AT1G04997	1	1	1	1	1
AT1G05000	986	1068	1232	1114	1056
AT1G05003	0	0	0	0	0
AT1G05005	3	5	7	0	2
AT1G05007	1	0	1	0	0
AT1G05010	22586	19843	21525	19683	16767
AT1G05013	2	6	0	10	2
AT1G05017	293	283	314	294	255
AT1G05020	389	312	349	327	412
AT1G05023	59	55	64	55	67
AT1G05027	1	0	2	0	0
AT1G05030	458	501	646	508	640
AT1G05033	147	136	165	111	124
AT1G05035	19	33	45	21	69
AT1G05037	0	0	0	0	0
AT1G05040	2	1	7	2	5
AT1G05043	516	535	581	474	521
AT1G05047	464	402	517	585	560
AT1G05053	0	0	0	0	0
AT1G05055	546	549	627	548	496
AT1G05057	92	76	99	48	48
AT1G05060	602	706	542	445	411
AT1G05065	60	48	59	71	78
AT1G05067	0	0	2	0	0
AT1G05070	567	590	602	587	494
AT1G05073	0	0	2	0	0
AT1G05077	344	321	387	259	235
AT1G05080	1	1	2	0	2
AT1G05083	187	177	219	291	243
AT1G05085	0	1	3	2	1
AT1G05087	480	519	552	492	474
AT1G05090	758	808	876	764	831
AT1G05093	35	40	21	35	27
AT1G05097	0	0	0	0	0
AT1G05100	29	25	20	31	24
AT1G05103	9	11	7	16	4
AT1G05107	9	13	7	16	4
AT1G05113	0	0	2	0	0
AT1G05117	1	0	0	1	6
AT1G05120	1147	1343	1470	1103	1286
AT1G05123	621	756	788	775	807
AT1G05127	0	0	0	0	0
AT1G05133	2	2	0	1	4
AT1G05136	6	3	4	1	0
AT1G05137	224	231	259	171	205
AT1G05140	957	1040	1076	939	989
AT1G05143	249	305	310	283	323
AT1G05147	253	201	239	169	169
AT1G05150	2199	2256	2412	2177	2473
AT1G05153	12	23	25	34	33
AT1G05160	556	540	595	492	536
AT1G05163	129000	118460	146519	121343	116051
AT1G05170	764	796	894	741	781
AT1G05173	10	8	6	4	3
AT1G05177	0	0	1	0	1
AT1G05180	1745	1793	2031	1595	1597
AT1G05183	314	278	325	287	282
AT1G05187	99	139	148	113	118
AT1G05190	9599	9233	9975	11827	10978
AT1G05193	0	0	1	2	0
AT1G05197	0	0	0	0	0
AT1G05200	1687	2017	2199	1594	2200
AT1G05203	360	362	357	324	301
AT1G05205	931	750	845	781	558
AT1G05207	15832	16521	19582	36230	32735
AT1G05210	225	190	204	303	197
AT1G05213	3154	2853	3272	2741	2538
AT1G05217	1	1	0	0	0
AT1G05220	68	79	55	72	68
AT1G05223	0	1	0	2	2
AT1G05227	8	16	23	13	11
AT1G05230	752	948	946	649	894
AT1G05233	0	0	0	0	0
AT1G05237	0	0	0	1	0
AT1G05240	15882	11841	13354	11608	10465
AT1G05243	596	569	642	653	514
AT1G05247	264	229	229	229	205
AT1G05250	15804	11839	13319	11592	10445
AT1G05253	839	855	860	790	841
AT1G05257	151	143	140	103	106
AT1G05260	4427	3699	3973	3988	2902
AT1G05263	0	0	0	0	0
AT1G05267	28	37	55	46	33
AT1G05270	1648	1466	1549	1535	1357
AT1G05273	98	94	84	49	77
AT1G05277	2089	1739	2015	2023	1728
AT1G05280	55	58	98	38	54
AT1G05283	69	70	72	89	73
AT1G05287	24	19	17	7	20
AT1G05290	0	0	0	0	0
AT1G05291	0	0	0	0	0
AT1G05293	375	375	391	356	304
AT1G05297	178	149	189	182	175
AT1G05300	243	286	294	246	266
AT1G05303	118	128	142	138	123
AT1G05307	0	3	0	0	0
AT1G05310	138	73	124	144	77
AT1G05313	0	2	0	0	0
AT1G05317	1300	1210	1221	808	832
AT1G05320	2160	2048	2220	1964	1987
AT1G05323	26	12	19	25	14
AT1G05327	46	53	58	57	38
AT1G05330	9	1	3	4	1
AT1G05333	787	754	868	650	716
AT1G05337	849	716	735	832	683
AT1G05340	443	249	290	171	95
AT1G05343	94	99	109	81	92
AT1G05347	2184	1446	1717	1793	1134
AT1G05350	1142	1307	1399	1316	1332
AT1G05353	31	25	36	50	38
AT1G05357	8	12	19	13	12
AT1G05360	473	506	583	480	529
AT1G05363	76	62	68	83	87
AT1G05367	11	3	12	6	10
AT1G05370	99	106	121	113	108
AT1G05373	0	0	0	0	0
AT1G05377	0	0	0	0	0
AT1G05380	2025	2343	2581	1871	2238
AT1G05383	204	244	270	254	154
AT1G05385	370	363	423	444	422
AT1G05387	0	0	0	1	1
AT1G05390	0	0	0	0	0
AT1G05397	1	1	2	2	3
AT1G05400	54	59	62	62	61
AT1G05407	0	0	0	0	0
